Source,Target
Report.usp_DataExport_AccountAdjustment,Audit.usp_AddReportUsageLog
Report.usp_DataExport_AccountReviewForClosure,Audit.usp_AddReportUsageLog
Report.usp_DataExport_AccountWithEstimatedReading,Audit.usp_AddReportUsageLog
Report.usp_DataExport_AccountWithLoadFactorLargerThanOne,Audit.usp_AddReportUsageLog
Report.usp_DataExport_ActiveAccountMeterList,Audit.usp_AddReportUsageLog
Report.usp_DataExport_ManualBillingCreditTransfer,Audit.usp_AddReportUsageLog
Report.usp_DataExport_TariffChangeTracking,Audit.usp_AddReportUsageLog
Report.usp_GetAllFacilitiesLinkedToAProperty,Audit.usp_AddReportUsageLog
Report.usp_GetAllPropertiesLinkedToAFacility,Audit.usp_AddReportUsageLog
Report.usp_GetHeatingCoolingDegreeDays_Updated,Audit.usp_AddReportUsageLog
Report.usp_GetMonthlyAgencyFacilityData,Audit.usp_AddReportUsageLog
Report.usp_GetMonthlyAgencyFacilityDataFor12Months,Audit.usp_AddReportUsageLog
Report.usp_GetMonthlyFacilityDataBySubtype,Audit.usp_AddReportUsageLog
Report.usp_HeatingCoolingDegreeDays_Export,Audit.usp_AddReportUsageLog
Report.usp_LoadFactor_GetAccountLoadFactorInformation,Audit.usp_AddReportUsageLog
Report.usp_LoadFactor_GetAccountLoadFactorInformation_Upgrade,Audit.usp_AddReportUsageLog
Report.usp_LoadFactor_GetAccountLoadFactorInformationExport,Audit.usp_AddReportUsageLog
Report.usp_LoadFactor_GetAllAccountLoadFactorInformation,Audit.usp_AddReportUsageLog
Report.usp_Lookup_AccountInformation,Audit.usp_AddReportUsageLog
Report.usp_Lookup_AccountInformation_Upgrade,Audit.usp_AddReportUsageLog
Report.usp_Lookup_FacilityInformation,Audit.usp_AddReportUsageLog
Report.usp_Lookup_GetAccountDetailForTariffReport,Audit.usp_AddReportUsageLog
Report.usp_Lookup_GetAccountDetailForTariffReport_Updated,Audit.usp_AddReportUsageLog
